Report Name|Schedule Name|Line Item #|Line Item Name|Technical Line Item Name|MDRM|Description|Static or Dynamic|Mandatory or Optional|Format|# of reports or schedules used in|Other Schedule Reference|Source Page|Table Row
FR Y-14Q|Schedule H: Wholesale Risk|6|Country|Country|CLCO9031|Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for “domicile”).|Dynamic|Mandatory|Use the 2 letter Country Code22|1||168|1
FR Y-14Q|Schedule H: Wholesale Risk|6|Cumulative Charge-offs|CumulativeCh argeoffs|G076|Report the cumulative net charge-offs associated with this CRE loan on the reporting entity's books. Cumulative net charge-offs are the amount reflected over the life of the credit facility. If cumulative charge-offs are greater than the current commitment balance but less than the original commi...|Dynamic|Mandatory|Rounded whole dollar amount, e.g.: 20000000 Supply numeric values without any non-numeric formatting (no dollar sign, commas or decimal). Should be ‘0’ (zero) if there is no charge-off for the facility. Should be ‘NA’ for loans held for sale or accounted for under the fair value option.|1||224|2
FR Y-14Q|Schedule H: Wholesale Risk|7|Zip Code|ZipCodeForeign MailingCode|CLCO9220|Report the five-digit zip code for locations within the 50 US states, Washington DC, Puerto Rico, the US Virgin Islands, Guam, Palau, Micronesia, the Northern Marianas, or the Marshall Islands. For all other locations report the foreign mailing code for the domicile of the obligor (as defined in ...|Dynamic|Mandatory|For locations within the 50 US states, Washington DC, Puerto Rico, the US Virgin Islands, Guam, Palau, Micronesia, the Northern Marianas, or the Marshall Islands: five-digit ZIP code. If the ZIP code begins with zeroes, leading zeroes must be specified with no punctuation. For International: use ...|1||168|2
FR Y-14Q|Schedule H: Wholesale Risk|7|Participation Flag|Participation Flag|6135|Indicate if the CRE Loan is participated or syndicated among other financial institutions and if it is part of the Shared National Credit Program. For fronting exposures, report option1 ‘No’.|Dynamic|Mandatory|1. No 2. Yes, syndicate/participant in syndication but does not meet the definition of a Shared National Credit 3. Yes, agent in syndication but does not meet the definition of a Shared National Credit sold by reporting BHC or IHC or SLHC 4. Yes, syndicate/participant in Shared National Credit 5....|1||224|3
FR Y-14Q|Schedule H: Wholesale Risk|8|Industry Code|IndustryCode|CLCO4537|Report the numeric code that describes the primary business activity of the obligor according to the North American Industry Classification System (NAICS). If the NAICS code is not available, provide either the Standard Industrial Classification (SIC), or Global Industry Classification Standard (...|Dynamic|Mandatory|Report 4 to 6 digit number. If this code is not available, then provide a SIC or GICS industry code.|1||169|1
FR Y-14Q|Schedule H: Wholesale Risk|8|Lien Position|LienPosition|K450|Indicate using integer code if the mortgage is a first lien on the property or a subordinate lien. For multiple properties, report the lien on the|Dynamic|Mandatory|1. First Lien 2. Subordinated Lien 3. Mixed Liens|1||224|4
FR Y-14Q|Schedule H: Wholesale Risk|9|Industry Code Type|IndustryCodeTy pe|CLCOM297|Select the type of industry code identification scheme used in Field 8.|Dynamic|Mandatory|1. NAICS 2. SIC 3. GICS|1||169|2
FR Y-14Q|Schedule H: Wholesale Risk|9|Property Type|PropertyType|K451|If the CRE Loan is secured by multiple property types and one predominates, indicate the predominant property type. The predominant property should be the one with the highest collateral value as of the last valuation date (Field 43). If the CRE Loan is secured by multiple property types and no s...|Dynamic|Mandatory|1. Retail 2. Industrial (excluding warehouse/distributio n) 3. Hotel / Hospitality/Gaming (including Resorts) 4. Multi-family for Rent (including low income housing) 5. Homebuilders except condo 6. Condo/Co-op 7. Office (including medical office) 8. Mixed 9. Land and Lot Development 10. Other 11....|1||225|2
FR Y-14Q|Schedule H: Wholesale Risk|10|Obligor Internal Risk Rating|InternalRating|CLCOG080|Report the obligor rating grade from the reporting entity’s internal risk rating system. For fronting exposures, report the participant lender’s rating grade from the reporting entity’s internal risk rating system. This is the reporting entity’s probability of default (PD) rating. If the reportin...|Dynamic|Mandatory|Free text indicating the obligor rating grade. Obligor Internal Risk Rating must be consistent with Schedule H.4 (Internal Risk Rating Schedule), Field 1.|1||169|3
FR Y-14Q|Schedule H: Wholesale Risk|10|Origination Date (OriginationDa|Origination Date (OriginationDa|9912|Report the origination date. The origination date is the contractual date of the credit agreement. (In most cases, this is the date the commitment to lend|Dynamic|Mandatory|Must be in yyyy-mm-dd format, e.g.: 2005-02-01|1||225|3
FR Y-14Q|Schedule H: Wholesale Risk|11|TIN|TIN|CLCO6191|Report the Taxpayer Identification Number (TIN) assigned to the obligor by the U.S. Internal Revenue Service (IRS) in the administration of tax laws. If the borrowing entity is an individual(s) (Natural Person(s)), do not report Social Security Number; instead enter ‘NA’. If, the borrowing entity...|Dynamic|Mandatory|The 9 digit identification assigned by the Internal Revenue Service for the obligor identified in field 2. Allowable forms are either ##-#######, #########, or ‘NA’.|1||170|1
FR Y-14Q|Schedule H: Wholesale Risk|11|Location|Location|K453|Report the five-digit ZIP Code for locations within the 50 US states, Washington DC, Puerto Rico, the US Virgin Islands, Guam, Palau, Micronesia, the Northern Marianas, of the Marshall Islands where the collateral is located. Use the 2 letter Country Code30 for foreign properties.|Dynamic|Mandatory|For locations within the US states, Washington DC, Puerto Rico, the US Virgin Islands, Guam, Palau, Micronesia, the Northern Marianas, or the Marshall Islands: five-digit ZIP code. If the ZIP code begins with zeroes, leading zeroes must be specified with no punctuation.|1||226|2
FR Y-14Q|Schedule H: Wholesale Risk|12|Stock Exchange|StockExchange|CLCO4534|Report the name of the Stock Exchange on which the primary stock of the obligor, or its parent, trades. If the borrowing entity is not publicly traded, enter ‘NA’. In cases where the subsidiary is the obligor and the subsidiary is publicly traded, report the Stock Exchange and Ticker Symbol (fiel...|Dynamic|Mandatory|Free text|1||170|2
FR Y-14Q|Schedule H: Wholesale Risk|12|Net Operating Income at Origination|NetOperating Income|K454|Report the Net Operating Income (NOI) at origination (date given in Field 10). NOI is all operating income, net of operating expenses with the exception of debt service and depreciation. Operating expenses include RE taxes (but not income taxes), Insurance, common area maintenance, utilities, rep...|Dynamic|Mandatory|Rounded whole dollar amount with no cents, e.g.: 20000000 Supply numeric values without any non-numeric formatting such as dollar signs, commas or decimals but negative numbers can be submitted. For negative values use a negative sign ‘-‘ not parenthesis (). Guidelines for populating: • ‘0’ (zero...|1||227|2
FR Y-14Q|Schedule H: Wholesale Risk|13|Ticker Symbol|TKR|CLCO4539|Report the Stock Symbol for stocks listed and traded on the regulated exchange provided in Field 12. For subsidiaries of public companies, use parent ticker symbol from its primary Stock Exchange. If the borrowing entity is not publicly traded, enter ‘NA’. In cases where the subsidiary is the obl...|Dynamic|Mandatory|Free text|1||170|3
FR Y-14Q|Schedule H: Wholesale Risk|13|Value at Origination|Value at Origination|M148|Report the value of the subject property at origination (date given in Field 10) the value may be|Dynamic|Mandatory|Rounded whole dollar amount with no cents, e.g.: 20000000|1||228|2
FR Y-14Q|Schedule H: Wholesale Risk|14|CUSIP|CUSIP|CLCO9161|Report the CUSIP of the obligor, if available. CUSIPs are identifiers created and delivered by the CSB (CUSIP Service Bureau). The CSB is managed on behalf of the American Bankers Association by Standard & Poor’s. Issuer codes are assigned alphabetically from a series that includes deliberate bui...|Dynamic|Mandatory|Must be valid 6 digit CUSIP number issued by the CUSIP Service Bureau.|1||171|1
FR Y-14Q|Schedule H: Wholesale Risk|14|Value Basis|ValueBasis|K456|Provide integer code if the Value in Field 13 was calculated using an “as is,” “as stabilized” or “as completed” value as defined in SR10-16 (http://www.federalreserve.gov/ boarddocs/srletters/2010/sr1016a1.pdf).|Dynamic|Mandatory|1. As Is 2. As Stabilized 3. As Completed|1||229|2
FR Y-14Q|Schedule H: Wholesale Risk|15|Internal Credit Facility ID|InternalCreditF acilityID|CLCOM142|Report the reporting entity’s unique internal identifier for this credit facility record. It must identify the credit facility for its entire life and must be unique. In the event the internal facility ID changes (i.e., loan was converted to a new system through migration or acquisition), also pr...|Dynamic|Mandatory|Must be unique within a submission and over time. That is, the same submission file must not have two facilities with the same Credit Facility ID. May not contain a carriage return, line feed, comma or any unprintable character.|1||171|2
FR Y-14Q|Schedule H: Wholesale Risk|15|Internal Rating|InternalRatin g|G080|Report the bank’s internal obligor rating that addresses the probability of default of the loan. Must be a list of values where each value pair is the bank’s internal risk rating code followed by the percentage of total exposure that is rated with that risk rating. The format of these pairs will ...|Dynamic|Mandatory|The general form looks like this: Rating-code-1:% as decimal; Rating-code-2:% as decimal;…] For example, suppose the bank has ratings AAA, AA, A, BBB, BB, B, C, D. Suppose the credit is entirely rated AAA. The bank would supply this value: AAA:1 Suppose a different case where half the credit’s do...|1||229|3
FR Y-14Q|Schedule H: Wholesale Risk|16|Original Internal Credit Facility ID|OriginalInternal CreditFacilityID|CLCOM296|Report the Internal identification code assigned to the credit facility record in the previous submission. If the credit facility represents the fulfillment of a commitment to commit or a syndicated pipeline loan reported in the previous submission, report the credit facility ID used for that for...|Dynamic|Mandatory|"May not contain a carriage return, line feed, or any unprintable character. Provide the ID separated by a , (comma). For example, if facilities 123 and XYZ are aggregated into facility ABC then the ""Unique ID"" (H.1 Internal Credit Facility ID Field 15, H.2 Loan Number Field 1) is reported as ABC ..."|1||172|1
FR Y-14Q|Schedule H: Wholesale Risk|16|Probability of Default|PD|G082|For firms that are subject to the advanced approaches for regulatory capital, report the advanced IRB parameter estimate for the probability of default (PD) as defined in the Rule. For a defaulted obligor, report 100 percent (‘1’). For firms that are not subject to the advanced approaches for reg...|Dynamic|Mandatory|Express as a decimal to 4 decimal places, e.g., 50% is 0.5000. Use decimal format; do not use scientific notation. If the reporting entity does not assign a credit facility PD estimate, report ‘NA’.|1||230|2
FR Y-14Q|Schedule H: Wholesale Risk|17|Loss Given Default|LGD|G086|For firms that are subject to the advanced approaches for regulatory capital, report the advanced IRB LGD estimate at the loan level as defined in the Rule. If the credit facility includes multiple loans with different LGD assignments, report the dollar weighted average LGD that approximates the ...|Dynamic|Mandatory|Express as a decimal to 2 decimal places, e.g., 50% is 0.50. Use decimal format; do not use scientific notation. If the reporting entity does not assign a credit facility LGD estimate, report ‘NA’.|1||230|3
FR Y-14Q|Schedule H: Wholesale Risk|18|Origination Date|OriginationDate |CLCO9912|Report the origination date. The origination date is the contractual date of the credit agreement. (In most cases, this is the date the commitment to lend becomes a legally binding commitment). If there has been a major modification to the loan such that the obligor executes a new or amended and ...|Dynamic|Mandatory|Must be in yyyy- mm-dd format, e.g.: 2005-02-01 1999-12-14 Must be before or equal to the period end date of the data.|1||173|1
FR Y-14Q|Schedule H: Wholesale Risk|18|Exposure At Default|EAD|G083|For firms that are subject to the advanced approaches for regulatory capital, report the advanced IRB parameter estimate for the Exposure at Default (EAD). If the credit facility includes multiple loans with different EAD assignments, report the dollar weighted average EAD that|Dynamic|Mandatory|Rounded whole dollar amount with no cents, e.g.: 20000000 Supply numeric values without any non-numeric formatting (no dollar|1||230|4
FR Y-14Q|Schedule H: Wholesale Risk|19|Maturity Date|MaturityDate|CLCO9914|Report the maturity date. The maturity date is the last date upon which the funds must be repaid, inclusive of extension options that are solely at the borrower’s discretion, and according to the most recent terms of the credit agreement. If extension options are conditional on certain terms bein...|Dynamic|Mandatory|Must be in yyyy- mm-dd format, e.g.: 2005-02-01 1999-12-14|1||174|1
FR Y-14Q|Schedule H: Wholesale Risk|19|Maturity Date|MaturityDate|9914|Report the maturity date. The maturity date is the last date upon which the funds must be repaid, inclusive of extension options that are solely at the borrower’s discretion, and according to the most recent terms of the credit agreement. If extension options are conditional on certain terms bein...|Dynamic|Mandatory|Must be in yyyy-mm-dd format, e.g.: 2005-02-01 1999-12-14|1||231|2
FR Y-14Q|Schedule H: Wholesale Risk|20|Credit Facility Type|FacilityType|CLCOG072|Report the credit facility type. Use the following credit facility type descriptions, only. Note that these descriptions and codes mirror the requirements for Shared National Credit reporting and therefore not all will be relevant for Corporate Loan reporting. If the Credit facility type is “Othe...|Dynamic|Mandatory|Enter number code of the description.|1||175|1
FR Y-14Q|Schedule H: Wholesale Risk|20|Amortization|Amortization|K457|For loans with a monthly amortization schedule, report the original amortization term of the loan in months from the date given in Field 10 at the rate implied by the current payment disregarding any balloon payment. For Interest only loans enter ‘0’ (zero). After the interest only period is over...|Dynamic|Mandatory|Must be in whole months, e.g., 10 years would 120. For a non-standard amortization schedule, report ‘-1.’|1||231|3
FR Y-14Q|Schedule H: Wholesale Risk|21|Other Credit Facility Type Description|OtherFacilityTy pe|CLCOG107|If the credit facility is listed as “Other” in Field 20, provide a description of the “other credit facility type.” Leave this field blank if Field 20 is not zero.|Dynamic|Mandatory|Free Text|1||175|2
FR Y-14Q|Schedule H: Wholesale Risk|21|Recourse|Recourse|G106|Indicate whether credit facility provides for has full, partial or no recourse to a sponsor or guarantor as a source of repayment, as of the reporting date.|Dynamic|Mandatory|1. DO NOT USE 2. DO NOT USE 3. Full 4. Partial 5. None|1||232|2
FR Y-14Q|Schedule H: Wholesale Risk|22|Line of Business|LineOfBusines s|K458|Indicate the internal line of business.|Dynamic|Optional|Free text describing the line of business. For example: Retail, Private Banking, Corporate Banking, etc. Must be consistent with line of business names as reported in Schedule H.3 (Line of Business Schedule), Field 1.|1||232|3
FR Y-14Q|Schedule H: Wholesale Risk|23|Other Credit Facility Purpose Description|OtherFacilityPu rpose|CLCOG108|If the credit facility purpose is listed as “Other” in Field 22, provide a description of the “other credit facility type.” Leave this field blank if Field 22 is not zero.|Dynamic|Mandatory|Free Text|1||177|2
FR Y-14Q|Schedule H: Wholesale Risk|23|Current Occupancy|CurrentOccup ancy|K459|Report the current physical occupancy of rent- paying tenants (including tenants still in concessionary periods) as a % of net rentable square footage. Use NA if 1-4 family Residential Construction (FR Y- 9C, Schedule HC-C, item 1.a(1)) or other construction and land development loans (FR Y-9C, S...|Dynamic|Mandatory|Provide as a fraction (2 decimal places), e.g.: “0.80” for 80%. Guidelines for populating: • ‘0’ (zero) is to be used if the occupancy is actually zero. • NA is to be used for facilities where the data element is not applicable or the property does not have a currently valid|1||232|4
FR Y-14Q|Schedule H: Wholesale Risk|24|Committed Exposure Global 23|CommittedExpo sure|CLCOG074|Report the total commitment amount as the sum of loan and lease financing receivables recorded in FR Y-9C, Schedule HC-C (reported in Field 25) and any unused portion of the commitment recorded in Schedules HC-F, HC-G, and HC-L. Report the total commitment amount and not the constrained commitmen...|Dynamic|Mandatory|Rounded whole dollar amount, e.g.: 20000000 Supply numeric values without any non- numeric formatting (no dollar sign, commas or decimal).|1||178|1
FR Y-14Q|Schedule H: Wholesale Risk|24|Anchor Tenant|AnchorTenant|K460|Report the name of anchor tenant (s), if applicable. Anchor tenant is defined as any tenant named in a co- tenancy clause or whose rental income accounts for the majority of the gross rental income at the property level.|Dynamic|Optional|"Must not contain a vertical bar (|, ASCII 7C), carriage return, line feed, comma or any unprintable character. If there are multiple Anchor tenants, separate names with a double semi- colon ‘;;’."|1||233|2
FR Y-14Q|Schedule H: Wholesale Risk|25|Utilized Exposure Global 24|UtilizedExposur e|CLCOG075|Report all loan and lease financing receivables consistent with the FR Y-9C instructions. Report the amortized cost for HFI loans and the lower of cost or fair value for HFS loans. Report at fair value all HFS and HFI loans that the firm has elected to report under a fair value option. For facili...|Dynamic|Mandatory|Rounded whole dollar amount with no cents, e.g.: 20000000 Supply numeric values without any non- numeric formatting (no dollar sign, commas or decimal).|1||179|1
FR Y-14Q|Schedule H: Wholesale Risk|25|Loan Purpose|LoanPurpose|G073|Indicate the purpose of the CRE Loan at the origination date, as recorded in Field 10, using an integer from the following list. The following Loan Purpose descriptions provide guidance based on commonly-used definitions. Report fields as defined in the BHC’s or IHC’s or SLHC’s loan system. (1) C...|Dynamic|Mandatory|1. Construction Build to Suit / Credit Tenant Lease 2. Land Acquisition & Development 3. Construction Other 4. DO NOT USE. 5. DO NOT USE. 6. Acquisition (nonowner occupied) 7. Refinance 8. Other 9. Mini-Perm 10. DO NOT USE 11. DO NOT USE 12. DO NOT USE|1||233|3
FR Y-14Q|Schedule H: Wholesale Risk|26|Line Reported on FR Y-9C|LineReportedOn FRY9C|CLCOK449|Report the integer code corresponding to the line number on the FR Y-9C, Schedule HC-C, in which the outstanding balance is recorded or, in the case of an unused commitment, the line number in which the credit facility would be recorded if it were drawn. Refer to the FR Y-9C instructions for defi...|Dynamic|Mandatory|Enter number code of the description|1||180|1
FR Y-14Q|Schedule H: Wholesale Risk|26|Interest Rate Variability|InterestRateV ariability|K461|Indicate the variability of current interest rates (Fixed, Floating, or Mixed) to maturity. For fully undrawn commitments, report interest rate variability that would apply per the terms of the credit agreement if the credit facility was funded and fully drawn on the reporting date. If such fully...|Dynamic|Mandatory|0. DO NOT USE 1. Fixed 2. Floating 3. Mixed 4. Entirely fee based|1||235|2
FR Y-14Q|Schedule H: Wholesale Risk|27|Line of Business|LineOfBusiness|CLCOK458|Provide the name of the internal line of business|Dynamic|Mandatory|Free text describing the line of business. For example: Private Banking, Corporate Banking, Asset- Based Lending, etc. Must be consistent with line of business names as reported in Schedule H.3 (Line of Business Schedule), Field 1.|1||181|2
FR Y-14Q|Schedule H: Wholesale Risk|27|Interest Rate|InterestRate|7889|Report the current interest rate charged on the CRE Loan. If the facility includes multiple draws with different interest rates, enter the dollar weighted average interest rate that approximates the overall rate on the drawn balance of the facility. Report interest rate exclusive of interest rate...|Dynamic|Mandatory|Provide as a decimal, e.g.: 0.0575 for 5.75%. Enter ‘NA’ if the facility is entirely fee based.|1||235|3
FR Y-14Q|Schedule H: Wholesale Risk|28|Cumulative Charge-offs|CumulativeChar geoffs|CLCOG076|Report the cumulative net charge-offs associated with the credit facility on the reporting entity's books. Cumulative net charge-offs are the amount reflected over the life of the credit facility. If cumulative charge-offs are greater than the current commitment balance but less than the original...|Dynamic|Mandatory|Rounded whole dollar amount, e.g.: 20000000 Supply numeric values without any non- numeric formatting (no dollar sign, commas or decimal). Should be 0 if there is no charge-off for the facility. Should be ‘NA’ for loans held for sale or accounted for under a fair value option.|1||182|1
FR Y-14Q|Schedule H: Wholesale Risk|28|Interest Rate Index|InterestRateIn dex|K462|For floating rate CRE Loans, report the list base interest rate using integer code. If borrower has an option, select the index actually in use. If the CRE loan is fixed or entirely fee based (as designated in Field 26) choose the integer for “Not applicable (Fixed or entirely fee based)”. For lo...|Dynamic|Mandatory|0. DO NOT USE 1. LIBOR 2. PRIME or Base 3. Treasury Index 4. Other 5. Not applicable (Fixed or entirely fee based) 6. Mixed 7. SOFR|1||236|2
FR Y-14Q|Schedule H: Wholesale Risk|29|Interest Rate Spread|InterestRateS pread|K463|For floating rate CRE Loans, report the spread from base rate in basis points (this can be either positive or negative). If the CRE loan is fixed or entirely fee based (as designated in Field 26) populate ‘NA’. If the CRE loan includes multiple draws with different spreads, provide the spread tha...|Dynamic|Mandatory|Provide as a decimal, e.g.: 0.0575 for 5.75% Enter ‘NA’ if the loan is fixed or entirely fee based. Negative numbers can be submitted. For negative values use a negative sign ‘-‘ not parenthesis ().|1||237|2
FR Y-14Q|Schedule H: Wholesale Risk|30|Interest Rate Ceiling|InterestRateC eiling|K464|For floating rate CRE Loans, report the rate ceiling if one is contained in the credit agreement. If there is no ceiling, populate with ‘NONE’. If the CRE loan is fixed or entirely fee based (as designated in Field26) populate ‘NA’. For loan commitments with multiple interest rate ceilings, provi...|Dynamic|Mandatory|Provide as a decimal, e.g.: 0.0575 for 5.75% Enter ‘NA’ if the loan is fixed or entirely fee based Enter ‘NONE’ if no ceiling.|1||237|3
FR Y-14Q|Schedule H: Wholesale Risk|31|Interest Rate Floor|Interest Rate Floor|K465|For floating rate CRE Loans, report the rate floor if one is contained in the credit agreement. If there is|Dynamic|Mandatory|Provide as a decimal, e.g.: 0.0575 for 5.75%|1||237|4
FR Y-14Q|Schedule H: Wholesale Risk|32|# Days Principal or Interest Past Due|PastDue|CLCOG077|Report the longest number of days principal and/or interest payments are past due, if such payments are past due 30 days or more. Report the number of days past due as of the last day of the reporting period or disposition date. If payments are not past due 30 days or more, enter zero. For fronti...|Dynamic|Mandatory|Numbers only. For fully undrawn commitments, enter 0.|1||182|5
FR Y-14Q|Schedule H: Wholesale Risk|32|Frequency of Rate Reset|FrequencyofR ateReset|K466|For floating rate CRE Loans, report the frequency of interest rate reset in months. For frequencies less than (1) month, report as (1) month. If the CRE loan is fixed or entirely fee based (as designated in Field 26) populate ‘NA’. For fully undrawn commitments, report the frequency of the intere...|Dynamic|Mandatory|Provide in whole months. Enter ‘NA’ if the loan is fixed or entirely fee based.|1||238|2
FR Y-14Q|Schedule H: Wholesale Risk|33|Non-Accrual Date|NonAccrualDat e|CLCOG078|Report the date the credit facility was placed on non-accrual, if applicable. If a non-accrual date does not exist, enter 9999-12-31. For fronting exposures, report the date the fronting facility was placed on non-accrual.|Dynamic|Mandatory|Must be in yyyy- mm-dd format, e.g.: 2005-02-01 1999-12-14 For fully undrawn commitments, enter 9999-12- 31.|1||183|1
FR Y-14Q|Schedule H: Wholesale Risk|33|Interest Reserves|InterestReserv es|K467|Report the dollar amount of remaining Interest rate reserves. Interest reserves would represent only those funds remaining from the original construction commitment to be used to pay interest during the construction and lease-up phases. If a participation, prorate based on your share of the credi...|Dynamic|Mandatory|Rounded to whole dollar amount with no cents, punctuation or dollar signs. Guidelines for populating: • ‘0’ (zero) is to be used for facilities where an interest reserve is not part of the transaction (e.g. non- construction loans) or where|1||238|3
FR Y-14Q|Schedule H: Wholesale Risk|34|Participation Flag|ParticipationFla g|CLCO6135|Indicate if the credit facility is participated or syndicated among other financial institutions and if it is part of the Shared National Credit Program. For fronting exposures, report option1 ‘No”.|Dynamic|Mandatory|1. No 2. Yes, syndicate/participant in syndication but does not meet the definition of a Shared National Credit 3. Yes, agent in syndication or participation but does not meet the definition of a Shared National Credit 4. Yes, syndicate/participant in Shared National Credit 5. Yes, agent in Share...|1||183|2
FR Y-14Q|Schedule H: Wholesale Risk|34|Origination Amount|OriginationA mount|K468|Report the bank’s total commitment as of the origination date given in Field 10. The total commitment is the dollar amount the obligor is contractually allowed to borrow according to the credit agreement as of the origination date. This includes both drawn and undrawn amounts. For facilities with...|Dynamic|Mandatory|Round to the whole dollar. Do not include punctuation or dollar sign.|1||239|2
FR Y-14Q|Schedule H: Wholesale Risk|35|Lien Position|LienPosition|CLCOK450|Indicate using integer code if the credit facility is First Lien Senior, Second Lien, Senior Unsecured, or Contractually Subordinated. If the facility contains loans with different lien positions, aggregate the committed balance by lien position and report the lien position associated with the pr...|Dynamic|Mandatory|1. First-Lien Senior 2. Second Lien 3. Senior Unsecured 4. Contractually Subordinated|1||184|1
FR Y-14Q|Schedule H: Wholesale Risk|35|Original/Previ ous Loan Number|OrigLoanNum ber|G064|Report the Internal identification code assigned to the credit facility record in the previous submission. If the credit facility represents the fulfillment of a commitment to commit reported in the previous submission, report the credit facility ID used for that formerly reported exposure. If th...|Dynamic|Mandatory|"May not contain a carriage return, line feed, -or any unprintable character. Provide the ID separated by a , (comma). For example, if facilities 123 and XYZ are aggregated into facility ABC then the ""Unique ID"" (H.1 Internal Credit Facility ID Field 15, H.2 Loan Number Field 1) is reported as ABC..."|1||239|3
FR Y-14Q|Schedule H: Wholesale Risk|36|Security Type|SecurityType|CLCOM298|If security is provided by collateral other than or in addition to Real Estate, indicate the predominant security type. If a credit facility has loans secured by different asset types, aggregate the committed balance by type of asset in the collateral pool and report the security type associated ...|Dynamic|Mandatory|Enter number code of the description|1||184|2
FR Y-14Q|Schedule H: Wholesale Risk|36|Acquired Loan|AcqLoan|K469|Indicate if the loan was acquired via a bank, portfolio or individual loan purchase (i.e. loan commitment that was acquired outside of the|Dynamic|Mandatory|1. Yes 2. No|1||239|4
FR Y-14Q|Schedule H: Wholesale Risk|37|Interest Rate Variability|InterestRateVar iability|CLCOK461|Indicate the variability of current interest rates (Fixed, Floating, or Mixed) to maturity. For fully undrawn commitments, report interest rate variability that would apply per the terms of the credit agreement if the credit facility was funded and fully drawn on the reporting date. If such fully...|Dynamic|Mandatory|0. DO NOT USE 1. Fixed 2. Floating 3. Mixed 4. Entirely fee based|1||185|1
