Report Name|Schedule Name|Line Item #|Line Item Name|Technical Line Item Name|MDRM|Description|Static or Dynamic|Mandatory or Optional|Format|# of reports or schedules used in|Other Schedule Reference
FR Y-14Q|Schedule H: Wholesale Risk|14|Value Basis (ValueBasis)|Value Basis (ValueBasis)|2010|Provide integer code if the Value in Field 13 was calculated using an “as is,” “as stabilized” or...|Dynamic|Mandatory|"1. As Is
2. As Stabilized
3. As Completed"|2|Schedule E: Operational Risk
FR Y-14Q|Schedule H: Wholesale Risk|15|Internal Credit Facility ID (InternalCreditF acilityID)|Internal Credit Facility ID (InternalCreditF acilityID)|CLCOM142|Report the reporting entity’s unique internal identifier for this credit facility record. It must...|Dynamic|Mandatory|"Must be unique within a
submission and over time. That
is, the same submission file
must not have two facilities
with the same Credit Facility ID.
May not contain a carriage
return, line feed, comma or any
unprintable character."|1|
FR Y-14Q|Schedule H: Wholesale Risk|16|Original Internal Credit Facility ID (OriginalInternal CreditFacilityID)|Original Internal Credit Facility ID (OriginalInternal CreditFacilityID)|CLCOM296|Report the Internal identification code assigned to the credit facility record in the previous su...|Dynamic|Mandatory|"May not contain a carriage
return, line feed, or any
unprintable character.
Provide the ID separated by a ,
(comma). For example, if
facilities 123 and XYZ are
aggregated into facility ABC
then the ""Unique ID"" (H.1
Internal Credit Facility ID Field
15, H.2 Loan Number Field 1) is
reported as ABC and the
""Original ID"" (H.1 Original
Internal Credit Facility ID Field
16, H.2 Original/Previous Loan
Number Field 35) is reported
as 123, XYZ."|1|
FR Y-14Q|Schedule H: Wholesale Risk|16|Probability of Default (PD)|Probability of Default (PD)|5000|For firms that are subject to the advanced approaches for regulatory capital, report the advanced...|Dynamic|Mandatory|"Express as a decimal to 4 decimal
places, e.g., 50% is 0.5000. Use
decimal format; do not use
scientific notation.
If the reporting entity does not
assign a credit facility PD estimate,
report ‘NA’."|1|
FR Y-14Q|Schedule H: Wholesale Risk|18|Origination Date (OriginationDate )|Origination Date (OriginationDate )|CLCO9912|Report the origination date. The origination date is the contractual date of the credit agreement...|Dynamic|Mandatory|"Must be in yyyy- mm-dd format,
e.g.:
2005-02-01
1999-12-14
Must be before or equal to the
period end date of the data."|1|
FR Y-14Q|Schedule H: Wholesale Risk|19|Maturity Date (MaturityDate)|Maturity Date (MaturityDate)|CLCO9914|Report the maturity date. The maturity date is the last date upon which the funds must be repaid,...|Dynamic|Mandatory|"Must be in yyyy- mm-dd format,
e.g.:
2005-02-01
1999-12-14"|1|
FR Y-14Q|Schedule H: Wholesale Risk|19|Maturity Date (MaturityDate)|Maturity Date (MaturityDate)|9914|Report the maturity date. The maturity date is the last date upon which the funds must be repaid,...|Dynamic|Mandatory|"Must be in yyyy-mm-dd format,
e.g.:
2005-02-01
1999-12-14"|1|
FR Y-14Q|Schedule H: Wholesale Risk|20|Credit Facility Type (FacilityType)|Credit Facility Type (FacilityType)|CLCOG072|Report the credit facility type. Use the following credit facility type descriptions, only. Note ...|Dynamic|Mandatory|"Enter number code of the
description."|1|
FR Y-14Q|Schedule H: Wholesale Risk|21|Other Credit Facility Type Description (OtherFacilityTy pe)|Other Credit Facility Type Description (OtherFacilityTy pe)|CLCOG107|If the credit facility is listed as “Other” in Field 20, provide a description of the “other cred...|Dynamic|Mandatory|Free Text|1|
FR Y-14Q|Schedule H: Wholesale Risk|23|Other Credit Facility Purpose Description (OtherFacilityPu rpose)|Other Credit Facility Purpose Description (OtherFacilityPu rpose)|CLCOG108|If the credit facility purpose is listed as “Other” in Field 22, provide a description of the “ot...|Dynamic|Mandatory|Free Text|1|
FR Y-14Q|Schedule H: Wholesale Risk|24|Committed Exposure Global 23 (CommittedExpo sure)|Committed Exposure Global 23 (CommittedExpo sure)|CLCOG074|Report the total commitment amount as the sum of loan and lease financing receivables recorded in...|Dynamic|Mandatory|"Rounded whole dollar amount,
e.g.: 20000000
Supply numeric values without
any non- numeric formatting
(no dollar sign, commas or
decimal)."|1|
FR Y-14Q|Schedule H: Wholesale Risk|25|Utilized Exposure Global 24 (UtilizedExposur e)|Utilized Exposure Global 24 (UtilizedExposur e)|CLCOG075|Report all loan and lease financing receivables consistent with the FR Y-9C instructions. Report ...|Dynamic|Mandatory|"Rounded whole dollar amount
with no cents, e.g.: 20000000
Supply numeric values without
any non- numeric formatting
(no dollar sign, commas or
decimal)."|1|
FR Y-14Q|Schedule H: Wholesale Risk|26|Line Reported on FR Y-9C (LineReportedOn FRY9C)|Line Reported on FR Y-9C (LineReportedOn FRY9C)|CLCOK449|Report the integer code corresponding to the line number on the FR Y-9C, Schedule HC-C, in which ...|Dynamic|Mandatory|"Enter number code of the
description"|1|
FR Y-14Q|Schedule H: Wholesale Risk|27|Line of Business (LineOfBusiness)|Line of Business (LineOfBusiness)|CLCOK458|Provide the name of the internal line of business|Dynamic|Mandatory|"Free text describing the line of
business. For example: Private
Banking, Corporate Banking,
Asset- Based Lending, etc.
Must be consistent with line of
business names as reported in
Schedule H.3 (Line of Business
Schedule), Field 1."|1|
FR Y-14Q|Schedule H: Wholesale Risk|27|Interest Rate (InterestRate)|Interest Rate (InterestRate)|7889|Report the current interest rate charged on the CRE Loan. If the facility includes multiple draws...|Dynamic|Mandatory|"Provide as a decimal, e.g.: 0.0575
for 5.75%.
Enter ‘NA’ if the facility is entirely
fee based."|1|
FR Y-14Q|Schedule H: Wholesale Risk|28|Cumulative Charge-offs (CumulativeChar geoffs)|Cumulative Charge-offs (CumulativeChar geoffs)|CLCOG076|Report the cumulative net charge-offs associated with the credit facility on the reporting entity...|Dynamic|Mandatory|"Rounded whole dollar amount,
e.g.: 20000000
Supply numeric values without
any non- numeric formatting
(no dollar sign, commas or
decimal).
Should be 0 if there is no
charge-off for the facility.
Should be ‘NA’ for loans held for
sale or accounted for under a
fair value option."|1|
FR Y-14Q|Schedule H: Wholesale Risk|29|Interest Rate Spread (InterestRateS pread)|Interest Rate Spread (InterestRateS pread)|0575|For floating rate CRE Loans, report the spread from base rate in basis points (this can be either...|Dynamic|Mandatory|"Provide as a decimal, e.g.: 0.0575
for 5.75%
Enter ‘NA’ if the loan is fixed or
entirely fee based.
Negative numbers can be
submitted. For negative values use
a negative sign ‘-‘ not parenthesis
()."|1|
FR Y-14Q|Schedule H: Wholesale Risk|30|Interest Rate Ceiling (InterestRateC eiling)|Interest Rate Ceiling (InterestRateC eiling)|0575|For floating rate CRE Loans, report the rate ceiling if one is contained in the credit agreement....|Dynamic|Mandatory|"Provide as a decimal, e.g.: 0.0575
for 5.75%
Enter ‘NA’ if the loan is fixed or
entirely fee based
Enter ‘NONE’ if no ceiling."|1|
FR Y-14Q|Schedule H: Wholesale Risk|31|Interest Rate Floor|Interest Rate Floor|0575|For floating rate CRE Loans, report the rate floor if one is contained in the credit agreement. I...|Dynamic|Mandatory|"Provide as a decimal, e.g.: 0.0575
for 5.75%"|1|
FR Y-14Q|Schedule H: Wholesale Risk|32|# Days Principal or Interest Past Due (PastDue)|# Days Principal or Interest Past Due (PastDue)|CLCOG077|Report the longest number of days principal and/or interest payments are past due, if such paymen...|Dynamic|Mandatory|"Numbers only.
For fully undrawn
commitments, enter 0."|1|
FR Y-14Q|Schedule H: Wholesale Risk|33|Non-Accrual Date (NonAccrualDat e)|Non-Accrual Date (NonAccrualDat e)|CLCOG078|Report the date the credit facility was placed on non-accrual, if applicable. If a non-accrual da...|Dynamic|Mandatory|"Must be in yyyy- mm-dd format,
e.g.:
2005-02-01
1999-12-14
For fully undrawn
commitments, enter 9999-12-
31."|1|
FR Y-14Q|Schedule H: Wholesale Risk|34|Participation Flag (ParticipationFla g)|Participation Flag (ParticipationFla g)|CLCO6135|Indicate if the credit facility is participated or syndicated among other financial institutions ...|Dynamic|Mandatory|"1. No
2. Yes, syndicate/participant in
syndication but does not
meet the definition of a
Shared National Credit
3. Yes, agent in syndication or
participation but does not
meet the definition of a
Shared National Credit
4. Yes, syndicate/participant
in Shared National Credit
5. Yes, agent in Shared
National Credit"|1|
FR Y-14Q|Schedule H: Wholesale Risk|35|Lien Position (LienPosition)|Lien Position (LienPosition)|CLCOK450|Indicate using integer code if the credit facility is First Lien Senior, Second Lien, Senior Unse...|Dynamic|Mandatory|"1. First-Lien Senior
2. Second Lien
3. Senior Unsecured
4. Contractually Subordinated"|1|
FR Y-14Q|Schedule H: Wholesale Risk|36|Security Type (SecurityType)|Security Type (SecurityType)|CLCOM298|If security is provided by collateral other than or in addition to Real Estate, indicate the pred...|Dynamic|Mandatory|"Enter number code of the
description"|1|
FR Y-14Q|Schedule H: Wholesale Risk|37|Interest Rate Variability (InterestRateVar iability)|Interest Rate Variability (InterestRateVar iability)|CLCOK461|Indicate the variability of current interest rates (Fixed, Floating, or Mixed) to maturity. For f...|Dynamic|Mandatory|"0. DO NOT USE
1. Fixed
2. Floating
3. Mixed
4. Entirely fee based"|1|
FR Y-14Q|Schedule H: Wholesale Risk|38|Non-Accrual Date (NonAccrualD ate)|Non-Accrual Date (NonAccrualD ate)|9999|Report the date the credit facility was placed on non- accrual, if applicable. If there is no non...|Dynamic|Mandatory|"Must be in yyyy-mm-dd format,
e.g.:
2005-02-01
1999-12-14"|1|
FR Y-14Q|Schedule H: Wholesale Risk|39|||CLCOK462||Dynamic|Mandatory||1|
FR Y-14Q|Schedule H: Wholesale Risk|40|Interest Rate Spread (InterestRateSpr ead)|Interest Rate Spread (InterestRateSpr ead)|CLCOK463|For floating rate credit facilities, report the spread over base rate in basis points. If the cre...|Dynamic|Mandatory|"Provide as a decimal, e.g.:
0.0575 for 5.75%
Enter ‘NA’ if the credit facility is
fixed or entirely fee based
Negative numbers can be
submitted. For negative values
use a negative sign
‘-‘ not parenthesis ()."|1|
FR Y-14Q|Schedule H: Wholesale Risk|41|Interest Rate Ceiling (InterestRateCeil ing)|Interest Rate Ceiling (InterestRateCeil ing)|CLCOK464|For floating rate credit facilities, report the rate ceiling if one is contained in the credit ag...|Dynamic|Mandatory|"Provide as a decimal, e.g.:
0.0575 for 5.75%
Enter ‘NA’ if the credit facility is
fixed or entirely fee based
Enter ‘NONE’ if no ceiling."|1|
FR Y-14Q|Schedule H: Wholesale Risk|41|Last NOI Date (LastNOIDate)|Last NOI Date (LastNOIDate)|2005|Report the date for the value provided in CurrentNetOperatingInc (Field 40).|Dynamic|Mandatory|"Must be in yyyy-mm-dd format,
e.g.:
2005-02-01
1999-12-14
Must be before or equal to the
report date.
This date may be Null (i.e. blank) if
the Net Operating Income (NOI)
Current (Field 40) is ‘NA’."|2|Schedule B: Securities
FR Y-14Q|Schedule H: Wholesale Risk|42|Interest Rate Floor (InterestRateFlo or)|Interest Rate Floor (InterestRateFlo or)|CLCOK465|For floating rate credit facilities, report the rate floor if one is contained in the credit agre...|Dynamic|Mandatory|"Provide as a decimal, e.g.:
0.0575 for 5.75% Enter ’NA’ if
the credit facility is fixed or
entirely fee based
Enter ‘NONE’ if no floor."|1|
FR Y-14Q|Schedule H: Wholesale Risk|42|Current Value (CurrentValue)|Current Value (CurrentValue)|M209|Report the most recent value of the subject property, which may be either from an appraisal or an...|Dynamic|Mandatory|"Rounded whole dollar amount
with no cents, e.g.: 20000000
Supply numeric values without
any non-numeric formatting such
as dollar signs, commas or
decimals."|1|
FR Y-14Q|Schedule H: Wholesale Risk|43|Interest Income Tax Status (TaxStatus)|Interest Income Tax Status (TaxStatus)|CLCOM299|Report the tax status of interest income for Federal or State Income Tax purposes. Interest Incom...|Dynamic|Mandatory|"1. Taxable
2. Tax Exempt
If federal or state tax exempt,
choose ’2’."|1|
FR Y-14Q|Schedule H: Wholesale Risk|43|Last Valuation Date (LastValuation Date)|Last Valuation Date (LastValuation Date)|2005|Report the date of the most recent valuation provided in Current Value (Field 42).|Dynamic|Mandatory|"Must be in yyyy-mm-dd format,
e.g.:
2005-02-01
1999-12-14
Must be before or equal to the"|2|Schedule B: Securities
FR Y-14Q|Schedule H: Wholesale Risk|44|Guarantor Flag (GuarantorFlag)|Guarantor Flag (GuarantorFlag)|CLCGM318|Indicate if the credit facility is guaranteed. Report the option that reflects the guarantee of t...|Dynamic|Mandatory|"1. Full guarantee
2. Partial guarantee
3. U.S. Government Agency
Guarantee
4. No guarantee"|1|
FR Y-14Q|Schedule H: Wholesale Risk|44|Cross Collateralized Loan Numbers (CrossCollaterl izedLoans)|Cross Collateralized Loan Numbers (CrossCollaterl izedLoans)|M290|Report the LoanNumbers (Field 1) for all the loans which are cross- collateralized with loans rep...|Dynamic|Mandatory|"Provide the LoanNumber
separated by a , (comma). For
example, if loans 123 and XYZ are
cross- collateralized then enter
123, XYZ.
Leave blank if loan is not cross
collateralized."|1|
FR Y-14Q|Schedule H: Wholesale Risk|45|Guarantor Internal ID (GuarantorInter nalID)|Guarantor Internal ID (GuarantorInter nalID)|CLCGM300|Report the unique guarantor identifier. For facilities with multiple guarantors, provide the uniq...|Dynamic|Mandatory|"Must not contain a carriage
return, line feed, comma or any
unprintable character.
If the credit facility is not
guaranteed, enter ‘NA’."|1|
FR Y-14Q|Schedule H: Wholesale Risk|45|Additional Collateral (AdditionalColl ateral)|Additional Collateral (AdditionalColl ateral)|M291|Report the value of any cash and marketable securities that are pledged as collateral and where t...|Dynamic|Mandatory|"Rounded whole dollar amount
with no cents, e.g.: 20000000
Supply numeric values without
any non-numeric formatting such
as dollar signs, commas or
decimals."|1|
FR Y-14Q|Schedule H: Wholesale Risk|46|Guarantor Name (GuarantorNam e)|Guarantor Name (GuarantorNam e)|CLCG9017|Report the guarantor name on the credit facility. Full legal corporate name is desirable. If the ...|Dynamic|Mandatory|"Must not contain a carriage
return, line feed, comma or any
unprintable character.
If the credit facility
is not guaranteed, enter ‘NA’"|1|
FR Y-14Q|Schedule H: Wholesale Risk|47|Guarantor TIN (GuarantorTIN)|Guarantor TIN (GuarantorTIN)|CLCG6191|Report the Taxpayer Identification Number (TIN) assigned to the guarantor by the U.S. Internal Re...|Dynamic|Mandatory|"The 9 digit identification
assigned by the Internal
Revenue Service for the
guarantor identified in Field
45. Allowable forms are either
##-#######,
#########, or
‘NA’.
If the credit facility
is not guaranteed, enter ‘NA’"|1|
FR Y-14Q|Schedule H: Wholesale Risk|48|Guarantor Internal Risk Rating (GuarantorInter nalRiskRating)|Guarantor Internal Risk Rating (GuarantorInter nalRiskRating)|CLCGG080|Report the guarantor rating grade from the reporting entity’s internal risk rating system. This i...|Dynamic|Mandatory|"Free text indicating the obligor
rating grade.
If the credit facility is not
guaranteed or if the guarantor
does not have a rating, enter
‘NA’"|1|
FR Y-14Q|Schedule H: Wholesale Risk|49|Entity Internal ID (EntityInternalI D)|Entity Internal ID (EntityInternalI D)|CLCEM300|Report the reporting BHC’s or IHC’s or SLHC’s unique internal identifier for the entity that is t...|Dynamic|Mandatory|"Must not contain a carriage
return, line feed, comma or any
unprintable character.
Leave blank if the entity is the
same as the Obligor identified
in Field 2."|1|
FR Y-14Q|Schedule H: Wholesale Risk|50|Entity Name (EntityName)|Entity Name (EntityName)|CLCE9017|Report the name of the entity that is the primary source of repayment for the facility in Field 1...|Dynamic|Mandatory|"Must not contain a carriage
return, line feed, comma or any
unprintable character.
Leave blank if the entity is the
same as the Obligor identified
in Field 2."|1|
FR Y-14Q|Schedule H: Wholesale Risk|51|Entity Internal Risk Rating (EntityInternalRi skRating)|Entity Internal Risk Rating (EntityInternalRi skRating)|CLCEG080|For the entity identified in Field 49, report the entity rating grade from the reporting BHC’s or...|Dynamic|Mandatory|"Free text indicating the entity
rating grade.
Leave blank if the entity is the
same as the Obligor identified
in Field 2."|1|
FR Y-14Q|Schedule H: Wholesale Risk|52|Date of Financials (DateFinancials)|Date of Financials (DateFinancials)|CLCE9999|Report the as of date of the financial information, related to the entity identified in Field 2 o...|Dynamic|Mandatory|"Must be in yyyy- mm-dd format,
e.g.:
2005-02-01
1999-12-14"|1|
FR Y-14Q|Schedule H: Wholesale Risk|53|Date of Last Audit (DateLastAudit)|Date of Last Audit (DateLastAudit)|CLCE4929|Report the date of the last audited financial statements of the entity identified in Field 2 or F...|Dynamic|Mandatory|"Must be in yyyy- mm-dd format,
e.g.:
2005-02-01
1999-12-14"|1|
FR Y-14Q|Schedule H: Wholesale Risk|54|Net Sales Current (NetSalesCurrent )|Net Sales Current (NetSalesCurrent )|CLCEM301|Report the gross sales of the entity identified in Field 2 or Field 49 reduced by cash discounts,...|Dynamic|Mandatory|"Rounded whole dollar amount,
e.g.:
20000000
Supply numeric values without
any non- numeric formatting
(no dollar sign, commas or
decimal)."|1|
FR Y-14Q|Schedule H: Wholesale Risk|54|Renewal Date (RenewalDate)|Renewal Date (RenewalDate)|9999|If the credit facility has been renewed per the terms of the original loan agreement, re-priced, ...|Dynamic|Mandatory|"Must be in yyyy- mm-dd format,
e.g.:
2005-02-01
1999-12-14"|1|
FR Y-14Q|Schedule H: Wholesale Risk|55|Net Sales Prior Year (NetSalesPriorYe ar)|Net Sales Prior Year (NetSalesPriorYe ar)|CLCEM302|Report the gross sales of the entity identified in Field 2 or Field 49 reduced by cash discounts,...|Dynamic|Mandatory|"Rounded whole dollar amount,
e.g.:
20000000
Supply numeric values without
any non-numeric formatting
(no dollar sign, commas or
decimal)."|1|
FR Y-14Q|Schedule H: Wholesale Risk|55|Credit Facility Currency (CreditFacility Currency)|Credit Facility Currency (CreditFacility Currency)|4217|Indicate the currency denomination for contractual principal and interest payments on the credit ...|Dynamic|Mandatory|"Standard ISO 4127 three-letter
currency codes available at
http://www.iso.org/iso/currency_c
odes"|1|
FR Y-14Q|Schedule H: Wholesale Risk|56|Current Occupancy Date (CurrentOccup ancyDate)|Current Occupancy Date (CurrentOccup ancyDate)|2005|Report the date on which the most recent occupancy level indicated in Field 23 (Current Occupancy...|Dynamic|Mandatory|"Must be in yyyy-mm-dd format, e.g.:
2005-02-01
1999-12-14
Must be before or equal to report
date.
This date may be Null (i.e. blank) if
the Current Occupancy (Field 23) is
‘NA’."|2|Schedule B: Securities
FR Y-14Q|Schedule H: Wholesale Risk|57|Current Value Basis (CurrentValue Basis)|Current Value Basis (CurrentValue Basis)|2010|Provide integer code if the Current Value in Field 42 was calculated using an “as is,” “as stabil...|Dynamic|Mandatory|"1. As Is
2. As Stabilized
3. As Completed"|2|Schedule E: Operational Risk
FR Y-14Q|Schedule H: Wholesale Risk|58|Interest Expense (InterestExpense )|Interest Expense (InterestExpense )|CLCEM305|Report the periodic expense to the entity identified in Field 2 or Field 49 of securing short and...|Dynamic|Mandatory|"Rounded whole dollar amount,
e.g.:
20000000
Supply numeric values without
any non-numeric formatting
(no dollar sign, commas or
decimal)."|1|
FR Y-14Q|Schedule H: Wholesale Risk|59|Net Income Current (NetIncomeCurr ent)|Net Income Current (NetIncomeCurr ent)|CLCEM306|Report the income (or loss) reported by the entity identified in Field 2 or Field 49 after expens...|Dynamic|Mandatory|"Rounded whole dollar amount,
e.g.:
20000000
Supply numeric values without
any non-numeric formatting
(no dollar sign, commas or
decimal)."|1|
FR Y-14Q|Schedule H: Wholesale Risk|59|Participation Interest (ParticipationI nterest)|Participation Interest (ParticipationI nterest)|0005|For participated or syndicated credit facilities, report the percentage of the total loan commitm...|Dynamic|Mandatory|"Express as a decimal to 4 decimal
places, e.g., 0.05% is 0.0005. Use
decimal format; do not use scientific
notation."|1|
FR Y-14Q|Schedule H: Wholesale Risk|60|Net Income Prior Year (NetIncomePrior Year)|Net Income Prior Year (NetIncomePrior Year)|CLCEM307|Report the income (or loss) reported by the entity identified in Field 2 or Field 49 after expens...|Dynamic|Mandatory|"Rounded whole dollar amount,
e.g.:
20000000
Supply numeric values without
any non- numeric formatting
(no dollar sign, commas or
decimal)."|1|
FR Y-14Q|Schedule H: Wholesale Risk|61|Cash & Marketable Securities (CashMarketable Securities)|Cash & Marketable Securities (CashMarketable Securities)|CLCEM308|Report the cash, depository accounts and marketable securities of the entity identified in Field ...|Dynamic|Mandatory|"Rounded whole dollar amount,
e.g.:
20000000
Supply numeric values without
any non- numeric formatting
(no dollar sign, commas or
decimal)."|1|
